state,haunted_encounter_count,death_rate_diabetes,death_rate_stroke,death_rate_alzheimer's disease,death_rate_suicide,death_rate_clrd,death_rate_cancer,death_rate_kidney disease,death_rate_heart disease,death_rate_all causes,death_rate_unintentional injuries
California,1100,21.568421052631574,45.83684210526316,26.67368421052632,9.889473684210529,38.647368421052626,160.66842105263157,7.821052631578947,185.4684210526316,691.1315789473684,29.71578947368421
Texas,711,25.642105263157895,50.7,27.378947368421056,11.363157894736842,42.97894736842105,171.00526315789477,15.305263157894736,204.8736842105263,803.1526315789473,39.189473684210526
Pennsylvania,649,22.65263157894737,44.82105263157895,19.242105263157896,12.031578947368422,38.757894736842104,185.64736842105265,17.80526315789474,211.65263157894736,810.0894736842106,43.51578947368421
Michigan,559,25.23684210526316,46.16842105263158,23.99473684210526,11.773684210526316,44.742105263157896,184.52105263157895,15.136842105263158,228.53157894736844,821.4,37.63157894736842
Ohio,477,28.057894736842105,47.83157894736842,26.74736842105263,11.773684210526316,49.8421052631579,192.45789473684212,14.989473684210529,218.26315789473685,855.5157894736842,43.08421052631579
New York,459,18.305263157894743,30.836842105263155,10.142105263157896,7.1157894736842096,32.02105263157895,168.0368421052632,10.852631578947369,227.45263157894735,708.4473684210526,26.357894736842105
Illinois,395,21.689473684210526,46.16842105263158,20.957894736842107,9.215789473684213,39.373684210526314,185.07894736842104,18.147368421052633,204.64210526315787,785.4,34.05263157894737
Indiana,381,26.010526315789473,50.05263157894737,27.026315789473685,12.994736842105263,53.92631578947368,193.2263157894737,19.378947368421052,214.9157894736842,858.2736842105264,41.03157894736842
Massachusetts,372,16.521052631578947,36.95789473684211,20.321052631578947,7.636842105263158,35.03157894736842,177.67894736842106,16.442105263157895,169.0842105263158,722.5631578947368,30.489473684210523
Kentucky,370,27.363157894736844,51.22631578947369,29.589473684210528,14.473684210526319,60.978947368421046,210.15789473684214,20.67368421052632,238.54736842105265,942.8157894736842,57.18421052631578
Florida,328,20.73684210526316,38.78421052631579,18.1,13.468421052631578,39.642105263157895,169.01052631578946,10.74736842105263,183.3684210526316,726.5947368421052,44.01578947368421
Missouri,314,22.48421052631579,49.99473684210526,24.83157894736842,14.268421052631581,50.2,189.4842105263158,18.010526315789473,227.34210526315786,853.8000000000001,48.36315789473685
Georgia,289,21.942105263157895,53.35263157894737,29.115789473684213,11.61578947368421,46.77894736842105,181.01052631578943,20.23157894736842,216.0736842105263,874.5368421052632,42.61578947368421
Wisconsin,274,20.157894736842103,44.78947368421053,24.1,12.68421052631579,39.352631578947374,175.6578947368421,14.347368421052632,183.13684210526316,748.6789473684211,43.59473684210526
Alabama,224,26.4,58.11578947368421,31.31578947368421,13.273684210526316,52.51052631578948,194.77368421052628,20.957894736842103,254.44736842105263,962.2578947368422,50.95263157894737
Tennessee,221,26.894736842105264,56.75789473684211,34.10526315789474,14.25263157894737,52.57368421052632,198.32631578947368,12.994736842105263,236.9578947368421,924.3368421052631,52.98947368421052
Washington,218,23.473684210526315,46.805263157894736,40.98421052631579,13.789473684210526,43.526315789473685,173.9421052631579,6.278947368421052,166.13684210526316,730.6842105263158,38.8421052631579
North Carolina,211,24.515789473684215,54.39473684210526,29.1578947368421,12.268421052631577,46.52631578947369,182.83684210526317,17.594736842105263,196.50526315789477,841.8736842105263,46.06842105263158
Oklahoma,211,29.668421052631587,54.53684210526316,26.242105263157896,16.378947368421052,60.747368421052634,193.32631578947368,14.552631578947368,260.03684210526313,936.8157894736842,56.31052631578948
New Jersey,194,23.30526315789474,36.86842105263158,17.673684210526318,7.094736842105264,31.63684210526316,176.17894736842106,15.978947368421052,202.57368421052632,737.2157894736843,29.831578947368417
Virginia,192,21.23684210526316,49.07368421052632,22.73684210526316,11.805263157894736,39.51052631578948,179.96315789473684,18.31052631578947,189.1052631578947,786.0894736842106,36.294736842105266
Connecticut,185,16.38421052631579,35.38421052631579,16.352631578947367,8.75263157894737,33.66315789473684,166.6578947368421,13.15263157894737,175.9421052631579,696.2631578947369,36.17894736842105
South Carolina,183,25.257894736842104,57.67368421052631,33.55263157894737,12.821052631578947,47.05263157894737,188.40000000000003,17.31578947368421,208.19473684210524,885.2368421052631,50.84736842105264
Maryland,170,23.53684210526316,45.88421052631579,16.91578947368421,8.963157894736844,35.31578947368421,179.9421052631579,12.589473684210526,202.8842105263158,783.5263157894735,27.126315789473683
Iowa,169,20.626315789473683,44.03157894736842,27.478947368421053,12.18421052631579,46.352631578947374,176.10526315789474,7.452631578947368,188.33684210526317,745.3157894736842,37.76315789473684
Colorado,166,17.19473684210526,41.63684210526315,28.9,17.405263157894737,50.01578947368421,152.7526315789474,10.289473684210526,150.62105263157895,718.6947368421053,45.16315789473684
Minnesota,162,21.057894736842105,40.91578947368421,23.68421052631579,11.13157894736842,36.55789473684211,168.1157894736842,11.989473684210529,137.4105263157895,687.1157894736842,38.02105263157895
Arizona,156,21.468421052631577,37.757894736842104,31.4421052631579,16.678947368421053,45.1578947368421,157.28947368421052,8.38421052631579,170.23157894736843,732.9157894736842,49.242105263157896
Oregon,155,25.38421052631579,50.67368421052631,29.31578947368421,16.094736842105263,45.26315789473684,177.6263157894737,8.052631578947368,158.10526315789474,761.2526315789473,40.0
Utah,134,27.28421052631579,44.8,24.394736842105264,17.973684210526315,33.60526315789474,134.52105263157895,12.642105263157896,162.76315789473685,734.9368421052632,38.54210526315789
Kansas,123,22.478947368421053,47.45263157894737,23.410526315789475,14.157894736842103,49.810526315789474,175.83684210526317,17.0,184.33157894736843,794.221052631579,42.57368421052632
Arkansas,119,26.54736842105263,58.752631578947366,26.626315789473683,15.410526315789474,54.178947368421056,197.42631578947368,19.9,241.6368421052632,920.4,48.72105263157895
Nebraska,111,22.05263157894737,43.752631578947366,23.342105263157897,11.273684210526316,48.4,170.74210526315792,12.168421052631578,172.70000000000002,750.9157894736841,37.15263157894736
West Virginia,106,34.48421052631579,50.526315789473685,24.26315789473684,15.457894736842102,61.531578947368416,202.78947368421055,19.884210526315787,239.01052631578943,963.2105263157896,63.41578947368422
Louisiana,99,32.62105263157895,52.889473684210515,32.39473684210526,12.26842105263158,42.810526315789474,202.5894736842105,24.884210526315787,242.52105263157893,943.9368421052632,51.78947368421053
Hawaii,96,16.13684210526316,45.07894736842106,13.394736842105265,11.473684210526317,19.510526315789473,144.0578947368421,11.236842105263158,155.43157894736842,623.8052631578947,30.931578947368426
New Mexico,78,29.526315789473685,39.21052631578947,18.936842105263157,20.04736842105263,46.63157894736842,155.95263157894738,12.3,169.7736842105263,779.2947368421053,64.56842105263158
Wyoming,76,22.021052631578947,42.72631578947368,24.86315789473684,21.7,59.61052631578947,165.18421052631578,11.38421052631579,181.49473684210523,793.1,56.90526315789474
South Dakota,75,23.894736842105264,44.56842105263158,29.831578947368417,16.057894736842105,43.83157894736842,172.30526315789476,8.647368421052633,178.4578947368421,742.9,47.3
New Hampshire,72,20.778947368421058,37.84736842105264,25.38421052631579,13.236842105263158,45.06315789473685,179.8,11.126315789473685,179.83157894736843,739.7894736842105,39.752631578947366
Rhode Island,68,18.78421052631579,35.347368421052636,22.1,9.405263157894735,37.757894736842104,180.7,11.142105263157896,196.35789473684213,748.3473684210527,37.78421052631579
Idaho,66,23.757894736842104,47.752631578947366,26.878947368421052,17.900000000000002,47.83157894736842,164.83157894736843,9.189473684210526,174.54736842105262,758.642105263158,45.30526315789474
Vermont,63,22.721052631578942,39.242105263157896,29.31052631578947,14.415789473684208,46.1578947368421,177.67368421052632,6.684210526315789,176.18947368421053,740.3210526315789,43.68421052631579
Mississippi,63,27.605263157894736,56.99473684210527,29.657894736842103,12.710526315789474,52.33684210526316,204.42105263157896,23.00526315789474,277.13157894736844,987.6789473684212,58.71052631578947
North Dakota,58,24.489473684210527,44.189473684210526,34.199999999999996,14.605263157894736,37.96315789473684,164.90526315789472,9.889473684210529,172.2736842105263,721.2052631578947,40.22631578947368
Maine,57,22.910526315789475,42.705263157894734,28.473684210526315,13.9,49.74736842105264,191.01052631578943,14.542105263157897,176.2421052631579,789.3421052631579,42.63157894736842
Nevada,56,15.23684210526316,43.57368421052632,18.30526315789474,19.41578947368421,56.1,180.88947368421057,17.778947368421054,220.32105263157897,836.5315789473685,42.8
Montana,42,22.321052631578947,44.38947368421052,22.41578947368421,21.57894736842105,54.16842105263157,170.7736842105263,10.505263157894737,170.57894736842104,786.1000000000001,54.857894736842105
Delaware,37,22.36842105263158,43.71578947368421,20.147368421052633,11.447368421052632,42.38947368421052,188.51052631578943,15.484210526315788,203.7526315789474,799.7105263157895,40.05789473684211
Alaska,32,22.105263157894736,47.86315789473685,21.7,21.889473684210525,43.37894736842105,177.00526315789477,10.56842105263158,161.20526315789473,774.2736842105263,56.87894736842105
Washington DC,16,,,,,,,,,,
